10T|Oshkosh
1C7|AM.MOT.COR.-AMC(CDN)
1C7|AM.MOT.COR.-AMC(USA)
1C7|CHRYSLER(CDN)
1C7|CHRYSLER(USA)
1C7|DAIMLERCHRYSLER(USA)
1C7|JEEPEAGLE(USA)
1C8|AM.MOT.COR.-AMC(CDN)
1C8|AM.MOT.COR.-AMC(USA)
1C8|Chrysler
1C8|CHRYSLER(USA)
1C8|DAIMLERCHRYSLER(USA)
1C8|JEEPEAGLE(USA)
1C9|Chance
1C9|CONVERTO(USA)
1CA|DAIMLERCHRYSLER(USA)
1CM|CHECKER(USA)
1CY|Crane Carrier
1CY|CRANECARRIER(USA)
1D2|AM.MOT.COR.-AMC(CDN)
1D2|AM.MOT.COR.-AMC(USA)
1D2|CHRYSLER(CDN)
1D2|CHRYSLER(USA)
1D2|DAIMLERCHRYSLER(USA)
1D2|JEEPEAGLE(USA)
1D3|AM.MOT.COR.-AMC(CDN)
1D3|AM.MOT.COR.-AMC(USA)
1D3|CHRYSLER(CDN)
1D3|CHRYSLER(USA)
1D3|DAIMLERCHRYSLER(USA)
1D3|Dodge
1D3|JEEPEAGLE(USA)
1D4|AM.MOT.COR.-AMC(CDN)
1D4|AM.MOT.COR.-AMC(USA)
1D4|CHRYSLER(CDN)
1D4|CHRYSLER(USA)
1D4|DAIMLERCHRYSLER(USA)
1D4|Dodge
1D4|JEEPEAGLE(USA)
1D5|AM.MOT.COR.-AMC(CDN)
1D5|AM.MOT.COR.-AMC(USA)
1D5|CHRYSLER(CDN)
1D5|CHRYSLER(USA)
1D5|DAIMLERCHRYSLER(USA)
1D5|Dodge
1D5|JEEPEAGLE(USA)
1D6|AM.MOT.COR.-AMC(CDN)
1D6|AM.MOT.COR.-AMC(USA)
1D6|CHRYSLER(CDN)
1D6|CHRYSLER(USA)
1D6|DAIMLERCHRYSLER(USA)
1D6|JEEPEAGLE(USA)
1D7|AM.MOT.COR.-AMC(CDN)
1D7|AM.MOT.COR.-AMC(USA)
1D7|CHRYSLER(CDN)
1D7|CHRYSLER(USA)
1D7|DAIMLERCHRYSLER(USA)
1D7|Dodge
1D7|JEEPEAGLE(USA)
1D8|AM.MOT.COR.-AMC(CDN)
1D8|AM.MOT.COR.-AMC(USA)
1D8|CHRYSLER(CDN)
1D8|CHRYSLER(USA)
1D8|DAIMLERCHRYSLER(USA)
1D8|Dodge
1D8|JEEPEAGLE(USA)
1DT|DORSEY(USA)
1E2|AM.MOT.COR.-AMC(CDN)
1E2|AM.MOT.COR.-AMC(USA)
1E2|CHRYSLER(CDN)
1E2|CHRYSLER(USA)
1E2|DAIMLERCHRYSLER(USA)
1E2|JEEPEAGLE(USA)
1E3|AM.MOT.COR.-AMC(CDN)
1E3|AM.MOT.COR.-AMC(USA)
1E3|CHRYSLER(CDN)
1E3|CHRYSLER(USA)
1E3|DAIMLERCHRYSLER(USA)
1E3|JEEPEAGLE(USA)
1E4|AM.MOT.COR.-AMC(CDN)
1E4|AM.MOT.COR.-AMC(USA)
1E4|CHRYSLER(CDN)
1E4|CHRYSLER(USA)
1E4|DAIMLERCHRYSLER(USA)
1E4|JEEPEAGLE(USA)
1E5|AM.MOT.COR.-AMC(CDN)
1E5|AM.MOT.COR.-AMC(USA)
1E5|CHRYSLER(CDN)
1E5|CHRYSLER(USA)
1E5|DAIMLERCHRYSLER(USA)
1E5|JEEPEAGLE(USA)
1E6|AM.MOT.COR.-AMC(CDN)
1E6|AM.MOT.COR.-AMC(USA)
1E6|CHRYSLER(CDN)
1E6|CHRYSLER(USA)
1E6|DAIMLERCHRYSLER(USA)
1E6|JEEPEAGLE(USA)
1E7|AM.MOT.COR.-AMC(CDN)
1E7|AM.MOT.COR.-AMC(USA)
1E7|CHRYSLER(CDN)
1E7|CHRYSLER(USA)
1E7|DAIMLERCHRYSLER(USA)
1E7|JEEPEAGLE(USA)
1E8|AM.MOT.COR.-AMC(CDN)
1E8|AM.MOT.COR.-AMC(USA)
1E8|CHRYSLER(CDN)
1E8|CHRYSLER(USA)
1E8|DAIMLERCHRYSLER(USA)
1E8|JEEPEAGLE(USA)
1E9|EIDAL(USA)
1EC|Fleetwood
1F0|FORD(USA)
1F1|Ford
1F1|FORD(USA)
1F2|FORD(USA)
1F3|FORD(USA)
1F4|Ford
1F4|FORD(USA)
1F5|FORD(USA)
1F6|Ford
1F6|FORD(USA)
1F7|FORD(USA)
1F8|FORD(USA)
1F9|FWD
1F9|FWD Corp.
1F9|FWDCORP.(USA)
1FA|Ford
1FA|Ford Motor Company
1FA|FORD(USA)
1FB|Ford
1FB|Ford Motor Company
1FB|FORD(USA)
1FC|Ford
1FC|Ford Motor Company
1FC|FORD(USA)
1FD|Ford
1FD|Ford Motor Company
1FD|FORD(USA)
1FE|Ford
1FF|Ford
1FF|FORD(USA)
1FJ|FORD(USA)
1FL|FORD(USA)
1FM|Ford
1FM|Ford Motor Company
1FM|FORD(USA)
1FR|FORD(USA)
1FT|Ford
1FT|Ford Motor Company
1FT|FORD(USA)
1FU|Freightliner
1FV|Freightliner
1G |General Motors USA
1G0|GENERALMOT-GMC(CDN)
1G0|GENERALMOT-GMC(USA)
1G0|GeneralMotors(USA)
1G0|GMCTRUCK/COACH(USA)
1G0|OPEL
1G1|Chevrolet
1G1|Chevrolet USA
1G1|GENERALMOT-GMC(CDN)
1G1|GENERALMOT-GMC(USA)
1G1|GeneralMotors(USA)
1G1|GMCTRUCK/COACH(USA)
1G2|GENERALMOT-GMC(CDN)
1G2|GENERALMOT-GMC(USA)
1G2|GeneralMotors(USA)
1G2|GMCTRUCK/COACH(USA)
1G2|Pontiac
1G2|Pontiac USA
1G3|GENERALMOT-GMC(CDN)
1G3|GENERALMOT-GMC(USA)
1G3|GeneralMotors(USA)
1G3|GMCTRUCK/COACH(USA)
1G3|Oldsmobile
1G3|Oldsmobile USA
1G4|Buick
1G4|Buick USA
1G4|GENERALMOT-GMC(CDN)
1G4|GENERALMOT-GMC(USA)
1G4|GeneralMotors(USA)
1G4|GMCTRUCK/COACH(USA)
1G5|GENERALMOT-GMC(CDN)
1G5|GENERALMOT-GMC(USA)
1G5|GeneralMotors(USA)
1G5|GMC
1G5|GMCTRUCK/COACH(USA)
1G6|Cadillac
1G6|Cadillac USA
1G6|GENERALMOT-GMC(CDN)
1G6|GENERALMOT-GMC(USA)
1G6|GeneralMotors(USA)
1G6|GMCTRUCK/COACH(USA)
1G6|OPEL
1G7|GENERALMOT-GMC(CDN)
1G7|GENERALMOT-GMC(USA)
1G7|GeneralMotors(USA)
1G7|GMCTRUCK/COACH(USA)
1G8|Chevrolet
1G8|GENERALMOT-GMC(CDN)
1G8|GENERALMOT-GMC(USA)
1G8|GeneralMotors(USA)
1G8|GMCTRUCK/COACH(USA)
1G8|Saturn USA
1GA|Chevrolet
1GA|GENERALMOT-GMC(CDN)
1GA|GMCTRUCK/COACH(USA)
1GB|Chevrolet
1GB|GENERALMOT-GMC(CDN)
1GB|GENERALMOT-GMC(USA)
1GB|GeneralMotors(USA)
1GB|GMCTRUCK/COACH(USA)
1GC|Chevrolet
1GC|Chevrolet Truck USA
1GC|GENERALMOT-GMC(CDN)
1GC|GENERALMOT-GMC(USA)
1GC|GeneralMotors(USA)
1GC|GMCTRUCK/COACH(USA)
1GD|GENERALMOT-GMC(CDN)
1GD|GENERALMOT-GMC(USA)
1GD|GeneralMotors(USA)
1GD|GMC
1GD|GMCTRUCK/COACH(USA)
1GE|Cadillac
1GE|GENERALMOT-GMC(CDN)
1GE|GENERALMOT-GMC(USA)
1GE|GeneralMotors(USA)
1GE|GMCTRUCK/COACH(USA)
1GF|Flexible
1GG|GENERALMOT-GMC(CDN)
1GG|GENERALMOT-GMC(USA)
1GG|GeneralMotors(USA)
1GG|GMCTRUCK/COACH(USA)
1GG|Isuzu
1GH|GENERALMOT-GMC(CDN)
1GH|GENERALMOT-GMC(USA)
1GH|GeneralMotors(USA)
1GH|GMC
1GH|GMCTRUCK/COACH(USA)
1GJ|GENERALMOT-GMC(CDN)
1GJ|GENERALMOT-GMC(USA)
1GJ|GeneralMotors(USA)
1GJ|GMC
1GJ|GMCTRUCK/COACH(USA)
1GK|GENERALMOT-GMC(CDN)
1GK|GENERALMOT-GMC(USA)
1GK|GeneralMotors(USA)
1GK|GMC
1GK|GMCTRUCK/COACH(USA)
1GM|GENERALMOT-GMC(CDN)
1GM|GENERALMOT-GMC(USA)
1GM|GeneralMotors(USA)
1GM|GMCTRUCK/COACH(USA)
1GM|Pontiac
1GM|Pontiac USA
1GN|Chevrolet
1GN|GENERALMOT-GMC(CDN)
1GN|GENERALMOT-GMC(USA)
1GN|GeneralMotors(USA)
1GN|GMCTRUCK/COACH(USA)
1GT|GENERALMOT-GMC(CDN)
1GT|GENERALMOT-GMC(USA)
1GT|GeneralMotors(USA)
1GT|GMC
1GT|GMC Truck USA
1GT|GMCTRUCK/COACH(USA)
1GY|Cadillac
1GY|Cadillac USA
1GY|GENERALMOT-GMC(CDN)
1GY|GENERALMOT-GMC(USA)
1GY|GeneralMotors(USA)
1GY|GMCTRUCK/COACH(USA)
1H |Honda USA
1H1|FRUEHAUF(USA)
1H2|FRUEHAUF(USA)
1H3|FRUEHAUF(USA)
1H4|FRUEHAUF(USA)
1H5|FRUEHAUF(USA)
1H6|FRUEHAUF(USA)
1H7|FRUEHAUF(USA)
1H8|FRUEHAUF(USA)
1HA|INTERHARV-IHC(USA)
1HA|NAVISTAR(USA)
1HC|INTERHARV-IHC(USA)
1HC|NAVISTAR(USA)
1HD|Harley-Davidson
1HD|HARLEY-DAVIDSON(USA)
1HE|INTERHARV-IHC(USA)
1HE|NAVISTAR(USA)
1HF|Honda
1HF|HONDA(USA)
1HG|Honda
1HG|HONDA(USA)
1HG|HONDAMOTOR(J)
1HP|INTERHARV-IHC(USA)
1HP|NAVISTAR(USA)
1HR|INTERHARV-IHC(USA)
1HR|NAVISTAR(USA)
1HS|INTERHARV-IHC(USA)
1HS|International
1HS|NAVISTAR(USA)
1HT|INTERHARV-IHC(USA)
1HT|International
1HT|NAVISTAR(USA)
1HV|INTERHARV-IHC(USA)
1HV|International
1HV|NAVISTAR(USA)
1J3|AM.MOT.COR.-AMC(CDN)
1J3|AM.MOT.COR.-AMC(USA)
1J3|CHRYSLER(CDN)
1J3|CHRYSLER(USA)
1J3|DAIMLERCHRYSLER(USA)
1J3|JEEPEAGLE(USA)
1J4|AM.MOT.COR.-AMC(CDN)
1J4|AM.MOT.COR.-AMC(USA)
1J4|CHRYSLER(CDN)
1J4|CHRYSLER(USA)
1J4|DAIMLERCHRYSLER(USA)
1J4|Jeep
1J4|JEEPEAGLE(USA)
1J5|AM.MOT.COR.-AMC(CDN)
1J5|AM.MOT.COR.-AMC(USA)
1J5|CHRYSLER(CDN)
1J5|CHRYSLER(USA)
1J5|DAIMLERCHRYSLER(USA)
1J5|JEEPEAGLE(USA)
1J6|AM.MOT.COR.-AMC(CDN)
1J6|AM.MOT.COR.-AMC(USA)
1J6|CHRYSLER(CDN)
1J6|CHRYSLER(USA)
1J6|DAIMLERCHRYSLER(USA)
1J6|Jeep
1J6|JEEPEAGLE(USA)
1J7|AM.MOT.COR.-AMC(CDN)
1J7|AM.MOT.COR.-AMC(USA)
1J7|CHRYSLER(CDN)
1J7|DAIMLERCHRYSLER(USA)
1J7|Jeep
1J7|JEEPEAGLE(USA)
1J8|AM.MOT.COR.-AMC(CDN)
